Species names,Development stage (Unknown/Juvenile/Adult),Average Mean Size (Total length mm),Standard deviation,Piscivore (Yes/No/Unknown)
Carassius carassius,,,,
Leuciscus idus,,,,
Salvelinus fontinalis,,,,
Thymallus thymallus,,,,
Leuciscus leuciscus,,,,
Coregonus lavaretus,,,,
Acipenser baerii,,,,
Oreochromis mossambicus,,,,
Acipenser ruthenus,,,,
Salvelinus alpinus alpinus,,,,
Scardinius erythrophthalmus,,,,
Carassius auratus,,,,
Micropterus salmoides,,,,
Acipenser transmontanus,,,,
Oncorhynchus mykiss,,,,
Hypophthalmichthys nobilis,,,,
Silurus glanis,,,,
Ctenopharyngodon idella,,,,
Oreochromis niloticus,,,,
Salmo trutta,,,,
Esox lucius,,,,
Hypophthalmichthys molitrix,,,,
Tinca tinca,,,,
Rutilus rutilus,,,,
Perca fluviatilis,,,,
Sander lucioperca,,,,
Cyprinus carpio,,,,
Acipenser gueldenstaedtii,,,,
Pungitius laevis,,,,
Rhodeus amarus,,,,
Phoxinus phoxinus,,,,
Gymnocephalus cernua,,,,
Gobio gobio,,,,
Alburnus alburnus,,,,
Abramis brama,,,,
Alosa fallax,,,,
Polyodon spathula,,,,
Carassius gibelio,,,,
Alosa alosa,,,,
Squalius cephalus,,,,
Pseudorasbora parva,,,,
Anguilla anguilla,,,,
Carassius gibelio,,,,
Polyodon spathula ,,,,
